Time,Voltage
-9.6800001300E-08,0.0080000060
-9.6400001300E-08,0.0080000060
-9.6000001300E-08,0.0080000060
-9.5600001300E-08,0.0000000060
-9.5200001300E-08,0.0080000060
-9.4800001300E-08,0.0080000060
-9.4400001300E-08,0.0080000060
-9.4000001300E-08,0.0160000100
-9.3600001200E-08,0.0160000100
-9.3200001200E-08,0.0000000060
-9.2800001200E-08,0.0080000060
-9.2400001200E-08,0.0080000060
-9.2000001200E-08,0.0080000060
-9.1600001200E-08,0.0000000060
-9.1200001200E-08,0.0080000060
-9.0800001200E-08,0.0080000060
-9.0400001200E-08,0.0080000060
-9.0000001200E-08,0.0000000060
-8.9600001200E-08,0.0080000060
-8.9200001200E-08,0.0000000060
-8.8800001200E-08,0.0080000060
-8.8400001200E-08,0.0080000060
-8.8000001200E-08,0.0080000060
-8.7600001200E-08,0.0080000060
-8.7200001200E-08,0.0000000060
-8.6800001200E-08,0.0080000060
-8.6400001200E-08,0.0080000060
-8.6000001100E-08,0.0080000060
-8.5600001100E-08,0.0080000060
-8.5200001100E-08,0.0000000060
-8.4800001100E-08,0.0080000060
-8.4400001100E-08,0.0000000060
-8.4000001100E-08,0.0000000060
-8.3600001100E-08,0.0080000060
-8.3200001100E-08,0.0000000060
-8.2800001100E-08,0.0000000060
-8.2400001100E-08,0.0160000100
-8.2000001100E-08,0.0000000060
-8.1600001100E-08,0.0080000060
-8.1200001100E-08,0.0000000060
-8.0800001100E-08,0.0160000100
-8.0400001100E-08,0.0000000060
-8.0000001100E-08,0.0080000060
-7.9600001100E-08,0.0080000060
-7.9200001100E-08,0.0000000060
-7.8800001100E-08,0.0080000060
-7.8400001000E-08,0.0080000060
-7.8000001000E-08,0.0000000060
-7.7600001000E-08,0.0000000060
-7.7200001000E-08,-0.0079999940
-7.6800001000E-08,0.0080000060
-7.6400001000E-08,0.0080000060
-7.6000001000E-08,0.0080000060
-7.5600001000E-08,0.0080000060
-7.5200001000E-08,0.0000000060
-7.4800001000E-08,0.0080000060
-7.4400001000E-08,0.0080000060
-7.4000001000E-08,0.0080000060
-7.3600001000E-08,0.0000000060
-7.3200001000E-08,0.0080000060
-7.2800001000E-08,0.0080000060
-7.2400001000E-08,0.0000000060
-7.2000001000E-08,0.0000000060
-7.1600001000E-08,0.0080000060
-7.1200001000E-08,0.0080000060
-7.0800000900E-08,0.0000000060
-7.0400000900E-08,0.0080000060
-7.0000000900E-08,0.0080000060
-6.9600000900E-08,0.0080000060
-6.9200000900E-08,0.0080000060
-6.8800000900E-08,0.0000000060
-6.8400000900E-08,0.0000000060
-6.8000000900E-08,0.0000000060
-6.7600000900E-08,0.0000000060
-6.7200000900E-08,0.0000000060
-6.6800000900E-08,0.0000000060
-6.6400000900E-08,0.0000000060
-6.6000000900E-08,0.0080000060
-6.5600000900E-08,0.0080000060
-6.5200000900E-08,0.0000000060
-6.4800000900E-08,0.0080000060
-6.4400000900E-08,0.0080000060
-6.4000000900E-08,0.0080000060
-6.3600000800E-08,0.0080000060
-6.3200000800E-08,0.0000000060
-6.2800000800E-08,0.0080000060
-6.2400000800E-08,0.0080000060
-6.2000000800E-08,0.0000000060
-6.1600000800E-08,0.0000000060
-6.1200000800E-08,0.0000000060
-6.0800000800E-08,0.0080000060
-6.0400000800E-08,0.0080000060
-6.0000000800E-08,0.0000000060
-5.9600000800E-08,0.0080000060
-5.9200000800E-08,0.0080000060
-5.8800000800E-08,0.0160000100
-5.8400000800E-08,0.0080000060
-5.8000000800E-08,0.0000000060
-5.7600000800E-08,0.0080000060
-5.7200000800E-08,0.0080000060
-5.6800000800E-08,0.0080000060
-5.6400000800E-08,0.0160000100
-5.6000000700E-08,0.0080000060
-5.5600000700E-08,0.0080000060
-5.5200000700E-08,0.0080000060
-5.4800000700E-08,0.0000000060
-5.4400000700E-08,0.0080000060
-5.4000000700E-08,0.0080000060
-5.3600000700E-08,0.0080000060
-5.3200000700E-08,0.0080000060
-5.2800000700E-08,0.0000000060
-5.2400000700E-08,0.0000000060
-5.2000000700E-08,0.0080000060
-5.1600000700E-08,0.0080000060
-5.1200000700E-08,0.0080000060
-5.0800000700E-08,0.0080000060
-5.0400000700E-08,0.0000000060
-5.0000000700E-08,0.0080000060
-4.9600000700E-08,0.0000000060
-4.9200000700E-08,0.0000000060
-4.8800000700E-08,0.0080000060
-4.8400000600E-08,0.0160000100
-4.8000000600E-08,0.0000000060
-4.7600000600E-08,0.0000000060
-4.7200000600E-08,0.0080000060
-4.6800000600E-08,0.0000000060
-4.6400000600E-08,0.0080000060
-4.6000000600E-08,0.0080000060
-4.5600000600E-08,0.0080000060
-4.5200000600E-08,0.0160000100
-4.4800000600E-08,0.0080000060
-4.4400000600E-08,0.0000000060
-4.4000000600E-08,0.0080000060
-4.3600000600E-08,0.0000000060
-4.3200000600E-08,0.0080000060
-4.2800000600E-08,0.0080000060
-4.2400000600E-08,0.0080000060
-4.2000000600E-08,0.0000000060
-4.1600000600E-08,0.0080000060
-4.1200000600E-08,0.0080000060
-4.0800000500E-08,0.0000000060
-4.0400000500E-08,0.0080000060
-4.0000000500E-08,0.0160000100
-3.9600000500E-08,0.0000000060
-3.9200000500E-08,0.0000000060
-3.8800000500E-08,0.0080000060
-3.8400000500E-08,0.0080000060
-3.8000000500E-08,0.0000000060
-3.7600000500E-08,0.0080000060
-3.7200000500E-08,0.0080000060
-3.6800000500E-08,0.0000000060
-3.6400000500E-08,0.0160000100
-3.6000000500E-08,0.0080000060
-3.5600000500E-08,0.0000000060
-3.5200000500E-08,-0.0079999940
-3.4800000500E-08,0.0080000060
-3.4400000500E-08,0.0080000060
-3.4000000500E-08,0.0080000060
-3.3600000400E-08,0.0080000060
-3.3200000400E-08,0.0000000060
-3.2800000400E-08,0.0080000060
-3.2400000400E-08,0.0000000060
-3.2000000400E-08,0.0080000060
-3.1600000400E-08,0.0000000060
-3.1200000400E-08,0.0000000060
-3.0800000400E-08,0.0000000060
-3.0400000400E-08,0.0000000060
-3.0000000400E-08,0.0000000060
-2.9600000400E-08,0.0080000060
-2.9200000400E-08,0.0000000060
-2.8800000400E-08,0.0000000060
-2.8400000400E-08,0.0080000060
-2.8000000400E-08,0.0080000060
-2.7600000400E-08,0.0080000060
-2.7200000400E-08,0.0000000060
-2.6800000400E-08,0.0000000060
-2.6400000400E-08,0.0080000060
-2.6000000300E-08,0.0000000060
-2.5600000300E-08,0.0080000060
-2.5200000300E-08,0.0000000060
-2.4800000300E-08,0.0000000060
-2.4400000300E-08,0.0080000060
-2.4000000300E-08,0.0080000060
-2.3600000300E-08,0.0080000060
-2.3200000300E-08,0.0000000060
-2.2800000300E-08,0.0080000060
-2.2400000300E-08,0.0000000060
-2.2000000300E-08,0.0000000060
-2.1600000300E-08,0.0000000060
-2.1200000300E-08,0.0000000060
-2.0800000300E-08,0.0080000060
-2.0400000300E-08,0.0080000060
-2.0000000300E-08,0.0000000060
-1.9600000300E-08,0.0080000060
-1.9200000300E-08,0.0000000060
-1.8800000300E-08,0.0000000060
-1.8400000200E-08,0.0080000060
-1.8000000200E-08,0.0080000060
-1.7600000200E-08,0.0000000060
-1.7200000200E-08,0.0000000060
-1.6800000200E-08,0.0080000060
-1.6400000200E-08,0.0000000060
-1.6000000200E-08,0.0080000060
-1.5600000200E-08,0.0080000060
-1.5200000200E-08,0.0000000060
-1.4800000200E-08,0.0080000060
-1.4400000200E-08,0.0160000100
-1.4000000200E-08,0.0160000100
-1.3600000200E-08,0.0080000060
-1.3200000200E-08,0.0000000060
-1.2800000200E-08,0.0000000060
-1.2400000200E-08,0.0080000060
-1.2000000200E-08,0.0160000100
-1.1600000200E-08,0.0080000060
-1.1200000100E-08,0.0080000060
-1.0800000100E-08,0.0080000060
-1.0400000100E-08,0.0080000060
-1.0000000100E-08,0.0080000060
-9.6000001300E-09,0.0080000060
-9.2000001200E-09,0.0080000060
-8.8000001200E-09,0.0000000060
-8.4000001100E-09,0.0080000060
-8.0000001100E-09,0.0080000060
-7.6000001000E-09,0.0080000060
-7.2000001000E-09,0.0080000060
-6.8000000900E-09,0.0080000060
-6.4000000900E-09,0.0080000060
-6.0000000800E-09,0.0000000060
-5.6000000700E-09,0.0080000060
-5.2000000700E-09,0.0080000060
-4.8000000600E-09,0.0000000060
-4.4000000600E-09,0.0080000060
-4.0000000500E-09,0.0080000060
-3.6000000500E-09,0.0080000060
-3.2000000400E-09,0.0000000060
-2.8000000400E-09,0.0080000060
-2.4000000300E-09,0.0000000060
-2.0000000300E-09,0.0080000060
-1.6000000200E-09,0.0160000100
-1.2000000200E-09,0.0080000060
-8.0000001100E-10,0.0080000060
-4.0000000500E-10,0.0080000060
0.0000000000E+00,0.0000000060
4.0000000500E-10,0.0000000060
8.0000001100E-10,0.0080000060
1.2000000200E-09,0.0000000060
1.6000000200E-09,0.0000000060
2.0000000300E-09,0.0080000060
2.4000000300E-09,0.0000000060
2.8000000400E-09,0.0080000060
3.2000000400E-09,0.0000000060
3.6000000500E-09,0.0080000060
4.0000000500E-09,0.0000000060
4.4000000600E-09,0.0080000060
4.8000000600E-09,0.0000000060
5.2000000700E-09,0.0000000060
5.6000000700E-09,0.0000000060
6.0000000800E-09,0.0080000060
6.4000000900E-09,0.0080000060
6.8000000900E-09,0.0080000060
7.2000001000E-09,0.0080000060
7.6000001000E-09,0.0080000060
8.0000001100E-09,0.0000000060
8.4000001100E-09,0.0000000060
8.8000001200E-09,0.0080000060
9.2000001200E-09,0.0080000060
9.6000001300E-09,0.0160000100
1.0000000100E-08,0.0160000100
1.0400000100E-08,0.0080000060
1.0800000100E-08,0.0000000060
1.1200000100E-08,0.0080000060
1.1600000200E-08,0.0080000060
1.2000000200E-08,0.0000000060
1.2400000200E-08,0.0000000060
1.2800000200E-08,0.0080000060
1.3200000200E-08,0.0080000060
1.3600000200E-08,0.0080000060
1.4000000200E-08,0.0080000060
1.4400000200E-08,0.0080000060
1.4800000200E-08,0.0080000060
1.5200000200E-08,0.0080000060
1.5600000200E-08,0.0080000060
1.6000000200E-08,0.0080000060
1.6400000200E-08,0.0000000060
1.6800000200E-08,0.0080000060
1.7200000200E-08,0.0080000060
1.7600000200E-08,0.0000000060
1.8000000200E-08,0.0080000060
1.8400000200E-08,0.0160000100
1.8800000300E-08,0.0160000100
1.9200000300E-08,0.0080000060
1.9600000300E-08,0.0000000060
2.0000000300E-08,0.0080000060
2.0400000300E-08,0.0080000060
2.0800000300E-08,0.0080000060
2.1200000300E-08,0.0080000060
2.1600000300E-08,0.0080000060
2.2000000300E-08,0.0080000060
2.2400000300E-08,0.0080000060
2.2800000300E-08,0.0080000060
2.3200000300E-08,0.0080000060
2.3600000300E-08,0.0080000060
2.4000000300E-08,0.0080000060
2.4400000300E-08,0.0080000060
2.4800000300E-08,0.0080000060
2.5200000300E-08,0.0080000060
2.5600000300E-08,0.0080000060
2.6000000300E-08,0.0080000060
2.6400000400E-08,0.0080000060
2.6800000400E-08,0.0080000060
2.7200000400E-08,-0.0079999940
2.7600000400E-08,0.0000000060
2.8000000400E-08,0.0080000060
2.8400000400E-08,0.0000000060
2.8800000400E-08,0.0000000060
2.9200000400E-08,0.0000000060
2.9600000400E-08,0.0080000060
3.0000000400E-08,0.0080000060
3.0400000400E-08,0.0000000060
3.0800000400E-08,0.0000000060
3.1200000400E-08,0.0080000060
3.1600000400E-08,0.0080000060
3.2000000400E-08,0.0080000060
3.2400000400E-08,0.0000000060
3.2800000400E-08,0.0080000060
3.3200000400E-08,0.0080000060
3.3600000400E-08,0.0080000060
3.4000000500E-08,0.0000000060
3.4400000500E-08,0.0080000060
3.4800000500E-08,0.0080000060
3.5200000500E-08,0.0080000060
3.5600000500E-08,0.0080000060
3.6000000500E-08,0.0000000060
3.6400000500E-08,0.0000000060
3.6800000500E-08,0.0080000060
3.7200000500E-08,0.0080000060
3.7600000500E-08,0.0080000060
3.8000000500E-08,0.0080000060
3.8400000500E-08,0.0080000060
3.8800000500E-08,0.0080000060
3.9200000500E-08,0.0080000060
3.9600000500E-08,0.0080000060
4.0000000500E-08,0.0160000100
4.0400000500E-08,0.0080000060
4.0800000500E-08,0.0080000060
4.1200000600E-08,0.0080000060
4.1600000600E-08,0.0080000060
4.2000000600E-08,0.0080000060
4.2400000600E-08,0.0000000060
4.2800000600E-08,0.0000000060
4.3200000600E-08,0.0080000060
4.3600000600E-08,0.0000000060
4.4000000600E-08,0.0080000060
4.4400000600E-08,0.0080000060
4.4800000600E-08,0.0000000060
4.5200000600E-08,0.0000000060
4.5600000600E-08,0.0080000060
4.6000000600E-08,0.0080000060
4.6400000600E-08,0.0000000060
4.6800000600E-08,0.0000000060
4.7200000600E-08,0.0080000060
4.7600000600E-08,0.0160000100
4.8000000600E-08,0.0080000060
4.8400000600E-08,0.0000000060
4.8800000700E-08,0.0000000060
4.9200000700E-08,0.0000000060
4.9600000700E-08,0.0160000100
5.0000000700E-08,0.0080000060
5.0400000700E-08,0.0080000060
5.0800000700E-08,0.0000000060
5.1200000700E-08,0.0000000060
5.1600000700E-08,0.0080000060
5.2000000700E-08,0.0080000060
5.2400000700E-08,0.0080000060
5.2800000700E-08,0.0000000060
5.3200000700E-08,0.0080000060
5.3600000700E-08,0.0000000060
5.4000000700E-08,0.0000000060
5.4400000700E-08,0.0080000060
5.4800000700E-08,0.0080000060
5.5200000700E-08,0.0000000060
5.5600000700E-08,0.0080000060
5.6000000700E-08,0.0000000060
5.6400000800E-08,0.0080000060
5.6800000800E-08,0.0160000100
5.7200000800E-08,0.0080000060
5.7600000800E-08,0.0080000060
5.8000000800E-08,0.0000000060
5.8400000800E-08,0.0000000060
5.8800000800E-08,0.0080000060
5.9200000800E-08,0.0080000060
5.9600000800E-08,0.0080000060
6.0000000800E-08,0.0000000060
6.0400000800E-08,0.0000000060
6.0800000800E-08,0.0080000060
6.1200000800E-08,0.0080000060
6.1600000800E-08,0.0080000060
6.2000000800E-08,0.0000000060
6.2400000800E-08,0.0000000060
6.2800000800E-08,0.0080000060
6.3200000800E-08,0.0000000060
6.3600000800E-08,0.0080000060
6.4000000900E-08,0.0080000060
6.4400000900E-08,0.0080000060
6.4800000900E-08,0.0080000060
6.5200000900E-08,-0.0079999940
6.5600000900E-08,0.0080000060
6.6000000900E-08,0.0080000060
6.6400000900E-08,0.0000000060
6.6800000900E-08,0.0000000060
6.7200000900E-08,-0.0079999940
6.7600000900E-08,0.0080000060
6.8000000900E-08,0.0080000060
6.8400000900E-08,0.0080000060
6.8800000900E-08,0.0080000060
6.9200000900E-08,0.0000000060
6.9600000900E-08,0.0000000060
7.0000000900E-08,0.0080000060
7.0400000900E-08,0.0000000060
7.0800000900E-08,0.0000000060
7.1200001000E-08,0.0000000060
7.1600001000E-08,0.0080000060
7.2000001000E-08,0.0080000060
7.2400001000E-08,0.0080000060
7.2800001000E-08,0.0080000060
7.3200001000E-08,0.0000000060
7.3600001000E-08,0.0160000100
7.4000001000E-08,0.0000000060
7.4400001000E-08,0.0000000060
7.4800001000E-08,0.0080000060
7.5200001000E-08,0.0080000060
