Time,Voltage
-1.8328000200E-07,-0.1000002000
-1.8320000200E-07,-0.0953126700
-1.8312000200E-07,-0.0578126700
-1.8304000200E-07,-0.0015626680
-1.8296000200E-07,0.0570310800
-1.8288000200E-07,0.0999998300
-1.8280000200E-07,0.1187498000
-1.8272000200E-07,0.1148436000
-1.8264000200E-07,0.1007811000
-1.8256000200E-07,0.0914060800
-1.8248000200E-07,0.0999998300
-1.8240000200E-07,0.1351561000
-1.8232000200E-07,0.1874998000
-1.8224000200E-07,0.2429686000
-1.8216000200E-07,0.2851561000
-1.8208000200E-07,0.2999998000
-1.8200000200E-07,0.2804686000
-1.8192000200E-07,0.2351561000
-1.8184000200E-07,0.1796873000
-1.8176000200E-07,0.1304686000
-1.8168000200E-07,0.0999998300
-1.8160000200E-07,0.0937498300
-1.8152000200E-07,0.1054686000
-1.8144000200E-07,0.1203123000
-1.8136000200E-07,0.1226561000
-1.8128000200E-07,0.0999998300
-1.8120000200E-07,0.0531248300
-1.8112000200E-07,-0.0085939170
-1.8104000200E-07,-0.0671876700
-1.8096000200E-07,-0.1031252000
-1.8088000200E-07,-0.1000002000
-1.8080000200E-07,-0.0484376700
-1.8072000200E-07,0.0382810800
-1.8064000200E-07,0.1398436000
-1.8056000200E-07,0.2343748000
-1.8048000200E-07,0.2999998000
-1.8040000200E-07,0.3203123000
-1.8032000200E-07,0.2968748000
-1.8024000200E-07,0.2406248000
-1.8016000200E-07,0.1695311000
-1.8008000200E-07,0.0999998300
-1.8000000200E-07,0.0515623300
-1.7992000200E-07,0.0296873300
-1.7984000200E-07,0.0343748300
-1.7976000200E-07,0.0601560800
-1.7968000200E-07,0.0999998300
-1.7960000200E-07,0.1460936000
-1.7952000200E-07,0.1914061000
-1.7944000200E-07,0.2320311000
-1.7936000200E-07,0.2687498000
-1.7928000200E-07,0.2999998000
-1.7920000200E-07,0.3218748000
-1.7912000200E-07,0.3343748000
-1.7904000200E-07,0.3367186000
-1.7896000200E-07,0.3249998000
-1.7888000200E-07,0.2999998000
-1.7880000200E-07,0.2585936000
-1.7872000200E-07,0.2117186000
-1.7864000200E-07,0.1656248000
-1.7856000200E-07,0.1273436000
-1.7848000200E-07,0.0999998300
-1.7840000200E-07,0.0882810800
-1.7832000200E-07,0.0867185800
-1.7824000200E-07,0.0914060800
-1.7816000200E-07,0.0976560800
-1.7808000200E-07,0.0999998300
-1.7800000200E-07,0.1007811000
-1.7792000200E-07,0.0976560800
-1.7784000200E-07,0.0945310800
-1.7776000200E-07,0.0953123300
-1.7768000200E-07,0.0999998300
-1.7760000200E-07,0.1101561000
-1.7752000200E-07,0.1203123000
-1.7744000200E-07,0.1257811000
-1.7736000200E-07,0.1210936000
